,distance_km,tree,building,road,sky,inner_river_0,inner_area,inner_avenue_0,included,betweenness_centrality,east,south,west,north
distance_km,1.0,-0.19802209210199298,0.016038570588712567,0.04160352427339791,0.20481130420393054,-0.4917996410030314,-0.5655654420990537,-0.30531760182100226,-0.6868025464457157,-0.4327890753776224,-0.04884471993125027,-0.10841188572386297,-0.11375596908955274,0.21120287973293222
tree,-0.19802209210199298,1.0,-0.6906487700685475,-0.028968413080886,-0.06232462667745242,0.17346264093717767,0.13258195438093978,0.19039927170222756,0.2836681336675142,0.3290485054905232,0.14784426338343498,0.040468310519912065,-0.11964219620151448,-0.06237044558627791
building,0.016038570588712567,-0.6906487700685475,1.0,-0.49833332662926116,-0.42986606359032553,0.0004033266005113792,-0.01829621900235153,-0.19696972208036087,-0.17931974777460097,-0.33139737573111533,-0.2102216890324142,-0.08420723050794969,0.299702224491626,0.0056260619170623435
road,0.04160352427339791,-0.028968413080886,-0.49833332662926116,1.0,0.1827399165841808,-0.09175762576796812,-0.035350384956953106,0.08061509826649386,-0.013103997655229987,0.13813247027477638,0.09856760291402716,0.09611992215221805,-0.1513006375090106,-0.03542939532422417
sky,0.20481130420393054,-0.06232462667745242,-0.42986606359032553,0.1827399165841808,1.0,-0.1402813714916896,-0.14489240324186334,0.055636996024971117,-0.04591493006115013,-0.04955282959465595,0.08979945472643894,-0.012847276944705933,-0.21726077882848652,0.10380640633023458
inner_river_0,-0.4917996410030314,0.17346264093717767,0.0004033266005113792,-0.09175762576796812,-0.1402813714916896,1.0,0.7529306218661667,0.1086965049805766,0.6431632170640463,0.258396584185772,-0.11794128673859376,-0.05200376673485388,0.12619252884722737,0.039816265431126895
inner_area,-0.5655654420990537,0.13258195438093978,-0.01829621900235153,-0.035350384956953106,-0.14489240324186334,0.7529306218661667,1.0,0.008230243607705115,0.6651020967399862,0.3290289019317324,-0.19775285925059857,0.24256455538390678,0.03451438669386954,-0.0337224099789459
inner_avenue_0,-0.30531760182100226,0.19039927170222756,-0.19696972208036087,0.08061509826649386,0.055636996024971117,0.1086965049805766,0.008230243607705115,1.0,0.2305353133152895,0.08364903210512656,0.7394286116399446,-0.18415635376925654,-0.33833285031780447,-0.2356636005349908
included,-0.6868025464457157,0.2836681336675142,-0.17931974777460097,-0.013103997655229987,-0.04591493006115013,0.6431632170640463,0.6651020967399862,0.2305353133152895,1.0,0.4905716539095084,-0.012360539609669713,-0.046807719795283184,-0.2000951277736665,0.20310143830390912
betweenness_centrality,-0.4327890753776224,0.3290485054905232,-0.33139737573111533,0.13813247027477638,-0.04955282959465595,0.258396584185772,0.3290289019317324,0.08364903210512656,0.4905716539095084,1.0,-0.09318493453259598,0.09073366644376048,-0.03807212894863351,0.04277247711682089
east,-0.04884471993125027,0.14784426338343498,-0.2102216890324142,0.09856760291402716,0.08979945472643894,-0.11794128673859376,-0.19775285925059857,0.7394286116399446,-0.012360539609669713,-0.09318493453259598,1.0,-0.08809784674616515,-0.5694565063199177,-0.34760802810227026
south,-0.10841188572386297,0.040468310519912065,-0.08420723050794969,0.09611992215221805,-0.012847276944705933,-0.05200376673485388,0.24256455538390678,-0.18415635376925654,-0.046807719795283184,0.09073366644376048,-0.08809784674616515,1.0,-0.012025334040996705,-0.6440302592735444
west,-0.11375596908955274,-0.11964219620151448,0.299702224491626,-0.1513006375090106,-0.21726077882848652,0.12619252884722737,0.03451438669386954,-0.33833285031780447,-0.2000951277736665,-0.03807212894863351,-0.5694565063199177,-0.012025334040996705,1.0,-0.29124209969392645
north,0.21120287973293222,-0.06237044558627791,0.0056260619170623435,-0.03542939532422417,0.10380640633023458,0.039816265431126895,-0.0337224099789459,-0.2356636005349908,0.20310143830390912,0.04277247711682089,-0.34760802810227026,-0.6440302592735444,-0.29124209969392645,1.0
