one,other
0,25
0,1
0,22
1,0
1,2
1,18
1,22
2,1
2,3
2,16
2,18
3,2
3,4
3,13
3,16
4,3
4,11
4,5
4,13
5,4
5,6
5,9
5,11
6,7
6,9
6,5
7,8
7,179
7,6
8,7
8,9
8,10
8,179
9,5
9,6
9,8
9,10
10,8
10,9
10,11
10,12
11,4
11,5
11,10
11,12
12,10
12,11
12,13
12,14
13,3
13,4
13,12
13,14
14,15
14,176
14,12
14,13
15,16
15,176
15,14
16,15
16,2
16,3
17,18
17,19
18,2
18,17
18,1
18,19
19,38
19,17
19,18
19,20
20,35
20,38
20,19
20,21
21,32
21,35
21,20
21,22
21,23
22,0
22,1
22,32
22,21
22,23
23,32
23,21
23,22
23,24
23,29
24,23
24,25
24,26
24,29
25,24
25,26
25,0
26,24
26,25
26,27
26,28
27,28
27,26
27,43
27,44
28,31
28,26
28,27
28,29
28,30
29,31
29,23
29,24
29,28
29,30
30,31
30,42
30,43
30,47
30,28
30,29
31,32
31,33
31,34
31,28
31,29
31,30
32,31
32,33
32,34
32,21
32,22
32,23
33,31
33,32
33,34
33,41
33,42
33,50
34,31
34,32
34,33
34,35
34,36
34,37
35,34
35,36
35,37
35,20
35,21
36,34
36,35
36,37
36,40
36,41
36,53
37,34
37,35
37,36
37,38
37,39
37,173
38,37
38,39
38,173
38,19
38,20
39,37
39,38
39,40
39,173
39,56
40,36
40,39
40,41
40,53
40,56
41,33
41,36
41,40
41,42
41,50
41,53
42,33
42,41
42,43
42,47
42,50
42,30
43,42
43,44
43,47
43,27
43,30
44,43
44,27
44,45
44,46
45,65
45,66
45,44
45,46
46,44
46,45
46,47
46,48
46,49
47,42
47,43
47,46
47,48
47,49
47,30
48,63
48,64
48,65
48,46
48,47
48,49
49,46
49,47
49,48
49,50
49,51
49,52
50,33
50,41
50,42
50,49
50,51
50,52
51,63
51,49
51,50
51,52
51,61
51,62
52,49
52,50
52,51
52,53
52,54
52,55
53,36
53,40
53,41
53,52
53,54
53,55
54,52
54,53
54,55
54,59
54,60
54,61
55,170
55,52
55,53
55,54
55,56
55,57
56,39
56,40
56,170
56,55
56,57
57,168
57,170
57,55
57,56
57,58
57,59
58,168
58,76
58,77
58,57
58,59
59,168
59,54
59,57
59,58
59,60
59,61
60,74
60,75
60,76
60,54
60,59
60,61
61,63
61,51
61,54
61,59
61,60
61,62
62,63
62,72
62,73
62,74
62,51
62,61
63,64
63,65
63,48
63,51
63,61
63,62
64,63
64,65
64,68
64,69
64,70
64,48
65,63
65,64
65,66
65,45
65,48
66,65
66,67
66,68
66,45
67,66
67,68
67,88
67,89
68,64
68,66
68,67
68,69
68,70
69,64
69,68
69,70
69,87
69,88
70,64
70,68
70,69
70,71
70,72
71,70
71,72
71,85
71,86
