street_id,street,distance_m,distance_km,tree,building,road,sky,along_park,inner_river_0,inner_area,inner_avenue_0,inner_avenue_1,inner_avenue_2,total,other,extra,city,inner_river_1,inner_river_2,inner_river_3,cos_simil,euclid_dist,cos_simil100,euclid_dist100,cos_simil250,euclid_dist250,cos_simil500,euclid_dist500,included,not_included,incl_prob,cluster,cluster_type,betweenness_centrality,east,south,west,north,dist_east,dist_west,dist_north,dist_south
0,1,1669,1.669,1,42,44,13,0,0,0,0,0,1,100,0,0,Kiba,1,0,0,0.789882211085957,38.47076812334271,0.808082855383136,36.691143345499604,0.94208169200076,21.3534397171768,0.97684382005259,14.1324085142696,3,47,0.06,2,scape_road_sky,0.0033926794774673035,0.0,0.0,0.2262351227814532,0.7737648772185467,0.0,0.3775864199222454,1.2914135800777544,0.0
1,2,1571,1.571,13,45,36,3,0,0,0,0,0,1,97,3,0,Kiba,1,0,0,0.837127907388287,32.7108544675922,0.8539387157429491,30.8583862183362,0.975665481651182,13.510766681670198,0.991161674753797,8.303959275247589,3,47,0.06,2,scape_road_sky,0.0032991949507440487,0.0,0.0,0.1866537255304685,0.8133462744695316,0.0,0.293233002808366,1.2777669971916341,0.0
2,3,1485,1.485,5,44,37,12,0,0,0,0,0,1,98,2,0,Kiba,1,0,0,0.7915155160242371,36.7967389859482,0.8167997452629492,34.2496715312717,0.9555559058293508,17.5368416861911,0.990523504621628,8.447232661941449,3,47,0.06,2,scape_road_sky,0.008556718308324135,0.0,0.0,0.1401281247244252,0.8598718752755748,0.0,0.20809026521577145,1.2769097347842286,0.0
3,4,1404,1.404,5,34,44,12,0,0,0,0,0,1,95,5,0,Kiba,1,0,0,0.8575261979653671,29.899832775452104,0.867646925557996,28.5979020209525,0.96200896992745,15.6879649699366,0.977038419639356,12.213563127128598,6,44,0.12,3,scape_second_built,0.008712342890169115,0.0,0.0,0.09716420699851888,0.9028357930014812,0.0,0.1364185466259205,1.2675814533740795,0.0
4,5,1237,1.237,11,32,40,11,0,0,0,0,0,1,94,6,0,Kiba,1,0,0,0.9034622476945228,23.720595832876306,0.915358622774774,21.8686990925386,0.985687754540602,9.1322483093526,0.986269918889986,9.353011096328679,6,44,0.12,3,scape_second_built,0.010217964161975773,0.0,0.0,0.03264287299716514,0.9673571270028348,0.0,0.04037923389749328,1.1966207661025068,0.0
5,6,1237,1.237,8,34,44,11,0,0,0,0,1,0,97,3,0,Kiba,1,0,0,0.879671164341306,27.507574714370303,0.8899475141818629,26.1656263062821,0.975285371362105,12.799473841226597,0.983367331984371,10.4175318772827,10,40,0.2,3,scape_second_built,,0.06805616856178827,0.0,0.0,0.9319438314382118,0.0841854805109321,0.0,1.152814519489068,0.0
6,7,1464,1.464,11,29,46,11,0,0,0,0,1,0,97,3,0,Kiba,1,0,0,0.917392113741362,22.6421435969889,0.922255125276426,21.896118377465896,0.974590418649447,12.737939473903001,0.9665789141930408,14.5761254094723,8,42,0.16,3,scape_second_built,0.010225334706311495,0.14010038153779325,0.0,0.0,0.8598996184622069,0.20510695857132932,0.0,1.2588930414286708,0.0
7,8,1525,1.525,2,33,44,18,0,0,0,0,1,0,97,3,0,Kiba,0,1,0,0.8228030574469691,33.5658556671309,0.8397755987468042,31.6644911533408,0.935418551250707,20.5001244396422,0.95834882814729,16.566009257570002,4,46,0.08,3,scape_second_built,0.007430451418953347,0.16875248316565433,0.0,0.0,0.8312475168343457,0.25734753682762285,0.0,1.2676524631723771,0.0
8,9,1584,1.584,4,40,39,15,0,0,0,0,1,0,98,2,0,Kiba,0,1,0,0.8056383172828941,35.1473090482519,0.8298144333969208,32.6165602110339,0.953742023444068,17.4878966892032,0.985277436124418,9.98469835215025,3,47,0.06,2,scape_road_sky,0.012665744743412763,0.2030152561373892,0.0,0.0,0.7969847438626109,0.3215761657216245,0.0,1.2624238342783756,0.0
9,10,1674,1.6740000000000002,0,15,46,11,0,0,0,0,1,0,72,28,0,Kiba,0,1,0,0.7784286815503341,37.067505985701295,0.7580934413993751,38.207852596030605,0.776222275640038,37.2420379108757,0.7677402529019179,38.515555913647106,2,48,0.04,3,scape_second_built,0.010222369481678092,0.2478037662478773,0.0,0.0,0.7521962337521227,0.41482350469894663,0.0,1.2591764953010536,0.0
