street_id,street,distance_m,distance_km,tree,building,road,sky,along_park,inner_river_0,inner_area,inner_avenue_0,inner_avenue_1,inner_avenue_2,total,other,extra,city,inner_river_1,inner_river_2,inner_river_3,cos_simil,euclid_dist,cos_simil100,euclid_dist100,cos_simil250,euclid_dist250,cos_simil500,euclid_dist500,included,not_included,incl_prob,cluster,cluster_type,betweenness_centrality,east,south,west,north,dist_east,dist_west,dist_north,dist_south
0,1,1051,1.051,2,40,41,14,0,0,0,0,0,1,97,3,0,Kiyosumi,0,0,0,0.8723056736617301,28.93743250532085,0.9622244352420434,16.376937492481712,0.9873421860739016,9.659659816876461,0.994752180633544,6.468482808299783,1,49,0.02,2,scape_second_built,0.0033926794774673035,0.6012151967239582,0.0,0.0,0.3987848032760418,0.63187717175688,0.0,0.4191228282431199,0.0
1,2,809,0.809,3,36,43,18,0,0,0,0,0,1,100,0,0,Kiyosumi,0,0,0,0.8835199781444113,27.647332601898505,0.9650995363469552,15.763559113295686,0.9797928255245559,11.932827037676828,0.9884011943274494,9.140872800534726,3,47,0.06,3,scape_road_sky,0.0032991949507440487,0.4601815153386126,0.0,0.0,0.5398184846613874,0.3722868459089376,0.0,0.4367131540910624,0.0
2,3,634,0.634,0,54,41,3,0,0,0,0,0,1,98,2,0,Kiyosumi,0,0,0,0.8128384513967368,39.59640135163801,0.9147876271651986,28.66911870544573,0.9624815857287315,20.669438658184323,0.9647671945391528,20.02220989024161,3,47,0.06,1,scape_most_built,0.008556718308324135,0.2626700304427756,0.0,0.0,0.7373299695572244,0.16653279930071974,0.0,0.46746720069928027,0.0
3,4,634,0.634,8,37,40,13,0,0,0,0,1,0,98,2,0,Kiyosumi,0,0,0,0.9200705836534762,22.21204628124118,0.9860115412280284,9.661621953663381,0.9972293989293656,4.2397752823050014,0.9993237586519036,2.0854750895674496,3,47,0.06,2,scape_second_built,0.008712342890169115,0.08130738932233908,0.0,0.0,0.9186926106776608,0.051548884830362976,0.0,0.582451115169637,0.0
4,5,748,0.748,4,38,39,16,0,0,0,0,1,0,97,3,0,Kiyosumi,0,0,0,0.8850525843519862,26.67161412438325,0.9689103040531988,14.169527522259932,0.9897334417349354,8.153262809724977,0.9960241093788528,5.083430912412386,3,47,0.06,2,scape_second_built,0.010217964161975773,0.0,0.0,0.04967912846157943,0.9503208715384206,0.0,0.037159988089261416,0.7108400119107386,0.0
5,6,825,0.825,10,35,38,13,0,0,0,0,1,0,96,4,0,Kiyosumi,0,0,0,0.9345019233157938,19.503204864842086,0.9915175601944406,7.065293153644707,0.9972081193908994,4.431970341858247,0.997742037694588,4.279890222594538,3,47,0.06,2,scape_second_built,,0.0,0.0,0.1321329376148905,0.8678670623851095,0.0,0.10900967353228466,0.7159903264677153,0.0
6,7,667,0.667,0,36,43,18,0,0,0,0,1,0,97,3,0,Kiyosumi,0,0,0,0.8620289516490067,29.989581524256053,0.953339371120448,17.973903985773262,0.9723338194460702,13.843495263520374,0.9841967937168942,10.561986345169908,3,47,0.06,3,scape_road_sky,0.010225334706311495,0.0,0.0,0.2345557261874099,0.7654442738125901,0.0,0.1564486693670024,0.5105513306329976,0.0
7,8,558,0.5579999999999999,17,29,39,12,0,0,0,0,1,0,97,3,0,Kiyosumi,0,0,0,0.9807133608741236,10.434318377354604,0.998573306210155,2.962348764761102,0.9780052931774368,11.813510391825867,0.9729825222550282,13.186091758857732,3,47,0.06,0,scape_most_green,0.007430451418953347,0.0,0.0,0.3411805524212547,0.6588194475787452,0.0,0.1903787482510601,0.3676212517489398,0.0
8,9,558,0.5579999999999999,3,47,38,10,0,0,0,0,1,0,98,2,0,Kiyosumi,0,0,0,0.8526602703877196,32.076081431496576,0.9473817522412368,20.126132874692946,0.985696074626634,11.28313022958513,0.9882679383033232,10.26474935714844,3,47,0.06,2,scape_second_built,0.012665744743412763,0.0,0.0,0.3018681705757054,0.6981318294242945,0.0,0.1684424391812436,0.3895575608187563,0.0
9,10,653,0.653,0,50,33,16,0,0,0,0,1,0,99,1,0,Kiyosumi,0,0,0,0.7976488411026481,37.59487997054918,0.9117250126414654,25.627631771275354,0.9648287927462852,16.752383744145526,0.9692455677746232,15.691469727919754,3,47,0.06,1,scape_most_built,0.010222369481678092,0.0,0.0,0.19524334434186053,0.8047566556581394,0.0,0.12749390385523493,0.5255060961447651,0.0
