one,other,angle
0,25,90.2784588282312
0,1,0.002355739262719164
0,22,88.58264729738545
1,0,0.002355739262719164
1,2,0.8005825781344426
1,18,93.80575764151857
1,22,91.41771875351921
2,1,0.8005825781344426
2,3,0.1381164448372358
2,16,90.1148444156468
2,18,86.99482217286992
3,2,0.1381164448372358
3,4,0.0012736076616197114
3,13,89.61775472503615
3,16,89.7470461377191
4,3,0.0012736076616197114
4,11,76.83060150896577
4,5,0.0011250870897560952
4,13,90.3813118836205
5,4,0.0011250870897560952
5,6,4.948573168290504
5,9,76.6893513734212
5,11,103.17038817621807
6,7,96.04291097409231
6,9,98.3620755183248
6,5,4.948573168290504
7,8,89.75303804580065
7,179,0.0508950990708315
7,6,96.04291097409231
8,7,89.75303804580065
8,9,75.84197546186567
8,10,0.6916900077471604
8,179,90.29784451445022
9,5,76.6893513734212
9,6,98.3620755183248
9,8,75.84197546186567
9,10,103.46633481268162
10,8,0.6916900077471604
10,9,103.46633481268162
10,11,76.67392563800324
10,12,0.2626840578727572
11,4,76.83060150896577
11,5,103.17038817621807
11,10,76.67392563800324
11,12,103.58875765335907
12,10,0.2626840578727572
12,11,103.58875765335907
12,13,89.19932895424235
12,14,0.05305502727344627
13,3,89.61775472503615
13,4,90.3813118836205
13,12,89.19932895424235
13,14,90.85371723912745
14,15,88.9467112021734
14,176,90.49807229276009
14,12,0.05305502727344627
14,13,90.85371723912745
15,16,0.8347708043488282
15,176,0.5552171702163965
15,14,88.9467112021734
16,15,0.8347708043488282
16,2,90.1148444156468
16,3,89.7470461377191
17,18,93.55079845224155
17,19,87.6738748591486
18,2,86.99482217286992
18,17,93.55079845224155
18,1,93.80575764151857
18,19,1.2246741281058515
19,38,0.3885020898561025
19,17,87.6738748591486
19,18,1.2246741281058515
19,20,90.22231721414215
20,35,91.61461792487472
20,38,89.38918315865178
20,19,90.22231721414215
20,21,0.5422969678658557
21,32,94.27172034207048
21,35,87.84308629659193
21,20,0.5422969678658557
21,22,85.23658384102123
21,23,2.549813640084748
22,0,88.58264729738545
22,1,91.41771875351921
22,32,0.4916986531427271
22,21,85.23658384102123
22,23,92.21360265087911
23,32,88.27809318885237
23,21,2.549813640084748
23,22,92.21360265087911
23,24,0.003273501434332739
23,29,90.39904285549088
24,23,0.003273501434332739
24,25,88.92221451571226
24,26,91.13890141236885
24,29,89.59788046873557
25,24,88.92221451571226
25,26,0.061138021755483975
25,0,90.2784588282312
26,24,91.13890141236885
26,25,0.061138021755483975
26,27,1.0244345748587222
26,28,88.86348559683016
27,28,90.11207997835292
27,26,1.0244345748587222
27,43,89.65891534292679
27,44,0.09519267992253112
28,31,0.9266686426072108
28,26,88.86348559683016
28,27,90.11207997835292
28,29,90.39973252206819
28,30,90.2128096767974
29,31,88.67359951914699
29,23,90.39904285549088
29,24,89.59788046873557
29,28,90.39973252206819
29,30,0.6125424331945322
30,31,90.71385829259188
30,42,90.47377015855221
30,43,90.01619500192291
30,47,1.0537359157328556
30,28,90.2128096767974
30,29,0.6125424331945322
31,32,92.64926443651493
31,33,86.02298575657557
31,34,1.2779317539848027
31,28,0.9266686426072108
31,29,88.67359951914699
31,30,90.71385829259188
32,31,92.64926443651493
32,33,1.3277499212796804
32,34,88.62866709839622
32,21,94.27172034207048
32,22,0.4916986531427271
32,23,88.27809318885237
33,31,86.02298575657557
33,32,1.3277499212796804
33,34,92.69908271566167
33,41,86.66754321453242
33,42,92.78938579228651
33,50,0.9586661633345444
34,31,1.2779317539848027
34,32,88.62866709839622
34,33,92.69908271566167
34,35,89.25652626294877
34,36,93.90766890650468
34,37,0.4941785030374582
35,34,89.25652626294877
35,36,3.16419520978585
35,37,90.24929650276012
35,20,91.61461792487472
35,21,87.84308629659193
36,34,93.90766890650468
36,35,3.16419520978585
36,37,86.58650833825064
36,40,93.68671959353027
36,41,86.72570516330137
36,53,0.7746481607433157
37,34,0.4941785030374582
37,35,90.24929650276012
37,36,86.58650833825064
37,38,88.74690241371356
37,39,93.24920697119215
37,173,0.328088241690502
38,37,88.74690241371356
38,39,1.996109441168454
38,173,91.58118172015006
38,19,0.3885020898561025
38,20,89.38918315865178
39,37,93.24920697119215
39,38,1.996109441168454
39,40,86.4775650970738
39,173,86.42270890937176
39,56,0.7424138975727173
40,36,93.68671959353027
40,39,86.4775650970738
40,41,0.4124261911702708
40,53,85.53863248290463
40,56,92.78002128690113
41,33,86.66754321453242
41,36,86.72570516330137
41,40,0.4124261911702708
41,42,0.5430715006065818
41,50,92.3737907967517
41,53,94.04894277168013
42,33,92.78938579228651
42,41,0.5430715006065818
42,43,0.4899664673317128
42,47,90.57996560287589
42,50,88.16928020382682
42,30,90.47377015855221
43,42,0.4899664673317128
43,44,90.43627556664494
43,47,88.9300692481437
43,27,89.65891534292679
43,30,90.01619500192291
44,43,90.43627556664494
44,27,0.09519267992253112
44,45,0.8214107089830701
44,46,90.14162707295698
45,65,89.69092450919645
45,66,0.19109516642678973
45,44,0.8214107089830701
45,46,90.67978318530191
46,44,90.14162707295698
46,45,90.67978318530191
46,47,90.49202811225551
46,48,90.31018888350776
46,49,0.46155708459548
47,42,90.57996560287589
47,43,88.9300692481437
47,46,90.49202811225551
47,48,0.8022174442586123
47,49,89.0464162284609
47,30,1.0537359157328556
48,63,90.95096530449966
48,64,4.048329807806353
48,65,89.31910342199387
48,46,90.31018888350776
48,47,0.8022174442586123
48,49,90.1513667928674
49,46,0.46155708459548
49,47,89.0464162284609
49,48,90.1513667928674
49,50,92.20433796484149
49,51,87.63790790361618
49,52,3.501484729129124
50,33,0.9586661633345444
50,41,92.3737907967517
50,42,88.16928020382682
50,49,92.20433796484149
50,51,0.15775644975323513
50,52,84.2941773821164
51,63,91.259759999019
51,49,87.63790790361618
51,50,0.15775644975323513
51,52,95.86357675994681
51,61,95.48655858934357
51,62,8.870839748080453
52,49,3.501484729129124
52,50,84.2941773821164
52,51,95.86357675994681
52,53,89.28308904945345
52,54,90.70681677897413
52,55,0.2513638988799905
53,36,0.7746481607433157
53,40,85.53863248290463
53,41,94.04894277168013
53,52,89.28308904945345
