,mean,std. dev.,2.5%,97.5%
rho,0.6156237623762374,0.019763120285999337,0.5841584158415842,0.6633663366336633
InRiverFix,1.1943360376047982,0.05724369000551429,1.073302672313137,1.3018422933023037
InAvenueFix,-0.09078597458317547,0.0218350114640591,-0.13238327776065267,-0.04782347436440319
InAreaFix,0.22825243614563767,0.03753201474935994,0.15590155068790118,0.30030180404956125
DistRes10underFix,-0.3008371785041636,0.04701265494720082,-0.3859472680206125,-0.19505976853985676
DistFreq1underFix,-0.3470693568478243,0.08810383784509247,-0.5116630285303564,-0.18572297298303564
DistFemaleFix,-0.384655700730998,0.17103503404445666,-0.6549188961802365,-0.13359873029899458
Dist40upFix,-0.2987583014482043,0.11128882551010018,-0.4797861862725229,-0.08133885397233633
interceptRndMean,-3.3877862805360173,0.6601993056847987,-4.68785032064463,-2.0658039713358143
interceptRndStd,12.722488502550986,0.7870873003683247,11.147739943573237,14.141996879811186
TreeRndMean,0.0740913875038644,0.007823275290818315,0.05791024186389747,0.08977262467718969
TreeRndStd,0.15398215954201896,0.009180291467157735,0.13590992248520775,0.17060645567675617
BldgRndMean,0.03462207879375419,0.006673624944246223,0.020562519569074223,0.04748152734047956
BldgRndStd,0.14211255451882454,0.0075004910005662786,0.12736566477268105,0.15645937760504025
RoadRndMean,0.04219775769292122,0.007838034537757778,0.026235654911691678,0.05763825597288829
RoadRndStd,0.1333942032503766,0.009770052400375378,0.11405752914141577,0.15277246951076667
SkyRndMean,0.05312342154880088,0.006778623442860451,0.038780363823820725,0.06593360154306781
SkyRndStd,0.13473024664509797,0.007387089967347028,0.11965650761332959,0.14894100773590216
DistRndMean,-2.339576607582403,0.13621144022958995,-2.635198146197536,-2.090232806611321
DistRndStd,2.774548806838213,0.15026638040515863,2.5007912187941015,3.0762263002497843
