,mean,std. dev.,2.5%,97.5%
rho,0.4730653465346532,0.03099662070370747,0.40594059405940586,0.5247524752475248
InRiverFix,2.639977178785317,0.13242177810003722,2.383615774823889,2.9022477796458475
InAvenueFix,0.010967369878191358,0.06735149697899406,-0.12398105753649094,0.14076635005861296
InAreaFix,0.17342094299520983,0.07465559143766598,0.02336997162619648,0.32088826782587715
DistRes10underFix,0.006708172597086579,0.20640360175061964,-0.43042504243286467,0.37765337270695803
DistFreq1underFix,-0.024767845260515946,0.22033502109364833,-0.4583168743122518,0.38043789701170067
DistFemaleFix,-0.017114757773074224,0.2333047371478449,-0.4829107573460902,0.41537001254484157
Dist40upFix,-0.002936942993501275,0.2349146858801736,-0.4338182915429472,0.44516427419019294
interceptRndMean,-8.097124916099803,1.4060263544750282,-10.886348967782194,-5.394806271022487
interceptRndStd,14.040418369013036,1.2658997521788664,11.664278910260885,16.688671972027315
TreeRndMean,0.13163265351520917,0.01639651009330707,0.1005923274173615,0.16446048466006588
TreeRndStd,0.1592632178564491,0.014578539645765469,0.13210496908312103,0.18952429198023263
BldgRndMean,0.07422621297205685,0.014361134060327579,0.04654797738170629,0.10264523809812276
BldgRndStd,0.15874666673152182,0.013463954850851816,0.1335759525814888,0.18623923644417512
RoadRndMean,0.09738226066734762,0.016457785547259844,0.06602709591664406,0.12990911935287225
RoadRndStd,0.15600276674268,0.015185806085191763,0.1284810682424237,0.18760538278979294
SkyRndMean,0.08023875999843154,0.013739890487781696,0.053618475132211185,0.10775508745815132
SkyRndStd,0.15484587503786523,0.012179217548627939,0.13247919505279135,0.17994574937377575
DistRndMean,-5.274141658967202,0.33278222638411753,-5.978579472842628,-4.669399407300365
DistRndStd,4.041767772605338,0.33831137337929107,3.3982079455308045,4.7167268368252495
