,mean,std. dev.,2.5%,97.5%
rho,0.3904297029702971,0.026055531852631864,0.3465346534653466,0.4455445544554455
interceptFix,0.5271995180157333,0.2284019505683302,0.08020433546992567,0.9728431715545577
TreeFix,0.015440695702227709,0.0029702219929521054,0.009674467342358432,0.02127256038107913
BldgFix,-0.0018458434656806921,0.0024189505250929964,-0.006565936839198214,0.002817554184190146
RoadFix,0.0007449417556344072,0.0028977549906173132,-0.004902139982970371,0.006511502424592305
SkyFix,0.012760298046264268,0.0033713643367538604,0.006226081424468935,0.019391575172042392
InRiverFix,0.4200572140155554,0.05080234211873655,0.3222463525868825,0.5214458464656216
InAvenueFix,0.0996354829409718,0.04455020331345021,0.01244676955627809,0.18872868745916602
InAreaFix,0.3408219149589435,0.046023934597754376,0.25095402487145924,0.43342971273341785
DistFix,-2.7272527200668955,0.11571537190589341,-2.951195929666616,-2.500847574204802
DistRes10underFix,0.4242464739081016,0.03349525555470248,0.35966341954835745,0.49175471266092796
DistFreq1underFix,0.09115465621422525,0.03189418234212971,0.02988923062274888,0.15408925094021453
DistFemaleFix,-0.361243074935137,0.030536615682494436,-0.4208074795793657,-0.30234199803539225
Dist40upFix,-0.13341304752019634,0.026828149972528522,-0.1870748788088308,-0.08080247708843272
DistEastFix,0.6229927214182795,0.07192524247077028,0.4834267040511129,0.7652708910498448
DistNorthFix,1.756345901172163,0.08456142627708262,1.593045907025421,1.9252986099457448
DistSouthFix,0.8665775057792653,0.09045215164022553,0.6928734945371231,1.0462439708671798
