,mean,std. dev.,2.5%,97.5%
rho,0.3661603960396041,0.04072483542472026,0.28712871287128716,0.4455445544554455
interceptFix,-0.3988640911223613,0.29275558845805005,-0.9772364805146561,0.17029529784207015
TreeFix,0.016282799795342112,0.004937382542324592,0.0066261500281072664,0.025915539894350574
BldgFix,-0.0025467167406011478,0.0035326069709934356,-0.009460848315394673,0.004397465769201183
RoadFix,0.0017380751616389062,0.004262432375857573,-0.0063986984268870105,0.010175834749554873
SkyFix,-0.0016412358414660115,0.004997176644833938,-0.011456198474869523,0.00805503733554388
InRiverFix,1.5771716459153289,0.11377259529927747,1.3609329749783756,1.808259466711835
InAvenueFix,0.2197862665752205,0.06671590089655928,0.09187231017950712,0.35735517692915664
InAreaFix,0.4909756088392679,0.05477525902068071,0.3872626969849992,0.6008550586948377
DistFix,-2.767359754366271,0.16690814121134792,-3.0911234019495777,-2.4351324826174996
DistRes10underFix,0.5683126139344925,0.06502851631806675,0.4426292799014616,0.6978894349421182
DistFreq1underFix,0.0766320498970334,0.06986503057769117,-0.06201678487225495,0.21305205872328745
DistFemaleFix,-0.05348607938699338,0.04920196222451051,-0.15035425993204765,0.04236044587964412
Dist40upFix,-0.23429002883540642,0.05149237776106921,-0.33980633079406825,-0.1373096868209658
DistEastFix,0.5792604349339927,0.13153152528097606,0.3201101395716197,0.8341185021585578
DistNorthFix,0.26406682350615557,0.19316568592900593,-0.11705007011110506,0.6462719115630141
DistSouthFix,1.2882079538417675,0.1393158591021973,1.0167214060644696,1.5614456730590605
