,mean,std. dev.,2.5%,97.5%
rho,0.0,0.0,0.0,0.0
interceptFix,0.576319890367046,0.2326118560539903,0.11928525688953409,1.023477403174539
TreeFix,0.015426436329036513,0.003086030994034365,0.009283410137895886,0.021438236961492788
BldgFix,-0.0025113748169133736,0.0025140186106741374,-0.007397259408143597,0.0024338302002020603
RoadFix,0.004455861671937995,0.0030001766983192937,-0.0012988631475910025,0.010289797355427337
SkyFix,0.014529007688300169,0.00363764877699042,0.007398033999069123,0.02166960077637881
InRiverFix,0.7491283376024228,0.0644593354092029,0.6216992143441371,0.8760849506587988
InAvenueFix,0.2795476317809919,0.06264225864165406,0.15480030972409195,0.4020451858967996
InAreaFix,0.5798775600274146,0.06503827341258779,0.4515124622127029,0.7063380531965482
DistFix,-3.7574079374479328,0.10959680729109718,-3.974184971049887,-3.5453229908353285
DistRes10underFix,0.644618050875711,0.04655185224298975,0.5530270721732796,0.7347624304973611
DistFreq1underFix,0.11562077305648058,0.051222141883290995,0.016870017760414264,0.2166945952921082
DistFemaleFix,-0.5862949593202323,0.04220140239606511,-0.6682802783441776,-0.5042886821648547
Dist40upFix,-0.22996991413069076,0.041991921786206865,-0.31078214202084914,-0.14717366809659582
DistEastFix,0.6670061977630432,0.1013591561580927,0.46612477053434015,0.8643721238099255
DistNorthFix,2.360785693571178,0.09096464658262109,2.1832885589089726,2.5358677349392087
DistSouthFix,1.0919481421463266,0.12223972380715356,0.8530330045570167,1.3339332629124974
