,mean,std. dev.,2.5%,97.5%
rho,0.0,0.0,0.0,0.0
interceptFix,-0.3170248737227991,0.29274814873808686,-0.8858671188866308,0.25360201910486063
TreeFix,0.009553716271353744,0.00522606957805787,-0.0007767513964416995,0.01984079797028233
BldgFix,-0.008881040563968176,0.0035888371967505448,-0.015894796890765363,-0.0018517889261390314
RoadFix,-0.0002720833693759723,0.0044519153464279955,-0.009033267385635384,0.00828740590133277
SkyFix,-0.004039023448108766,0.005361497837278817,-0.014657182420725006,0.006421530289873276
InRiverFix,2.333128529142058,0.08883885460073132,2.1591663802144305,2.507892224249614
InAvenueFix,0.35701664320732834,0.08106887285953256,0.198345054378706,0.5163467120045252
InAreaFix,0.6564679935584812,0.07184031950084029,0.5162975668700042,0.7971403282842675
DistFix,-3.299574552622919,0.17753379280301393,-3.652084246136049,-2.9498395379304663
DistRes10underFix,0.8215056082575806,0.08423322777072148,0.6586114288720627,0.9860908708062194
DistFreq1underFix,0.03375921476714688,0.10165376937602733,-0.16612138818387415,0.23423877969893286
DistFemaleFix,-0.11825629059055741,0.0737846935686984,-0.26307308712555205,0.02622928608358996
Dist40upFix,-0.4109921177753487,0.07459666614353579,-0.5524869409201477,-0.26251767582481966
DistEastFix,0.42174961345647005,0.16057318433976325,0.1014824106785312,0.7352069456475389
DistNorthFix,-0.04399592391183362,0.21658051240601026,-0.46826938613866376,0.3717482003244429
DistSouthFix,0.976140276547415,0.16973362732830372,0.6397894130428766,1.3083299908614558
