,mean,std. dev.,2.5%,97.5%
rho,0.0,0.0,0.0,0.0
interceptFix,0.7682448995247412,0.16347640052464849,0.48301624598268844,1.1247968492956228
InRiverFix,0.9911630494727212,0.08577707036282951,0.8190530988971223,1.156542405619762
InAvenueFix,0.27221634564511665,0.07233585618279262,0.13105434931194296,0.4137240407074036
InAreaFix,0.571900736601359,0.092511587233492,0.3900042989376267,0.7531224856734114
DistRes10underFix,-0.10166912556323282,0.24363411877426175,-0.5567945902078801,0.378673981528375
DistFreq1underFix,-0.0068846254378958594,0.1972249363672785,-0.39253279925670176,0.36823568351175884
DistFemaleFix,-0.030031000578074115,0.20895597064046775,-0.43973796951676497,0.33376196718114065
Dist40upFix,-0.03227289002385229,0.22232251204363565,-0.48158358972508253,0.40183019799994246
DistEastFix,1.1214885897536235,0.11118517558692112,0.9037821105799757,1.3426746591594183
DistNorthFix,3.4360758088040835,0.09481496840787997,3.2495821434085377,3.6196210672925586
DistSouthFix,1.6688766091501868,0.1331690693345627,1.4084343769278058,1.9277485135890509
TreeRndMean,0.032979604990237686,0.0030689143432867114,0.02685871456577415,0.03888456604311387
TreeRndStd,0.030653591628864097,0.0027311733089587366,0.02547462108276401,0.03616703354607312
BldgRndMean,0.0001949438151924248,0.0023675379090211143,-0.004537547173172458,0.004636166263322564
BldgRndStd,0.046179463376703284,0.002415415113343525,0.04158849840008283,0.0510716459092908
RoadRndMean,0.02028648174661579,0.0030393935148545067,0.014217614762444531,0.026019546175672974
RoadRndStd,0.03335194394666754,0.0025492629075664704,0.02843770740116422,0.03851536679114678
SkyRndMean,0.030108048541223786,0.0045049591432126685,0.021170372915991293,0.03866355795373043
SkyRndStd,0.06587012948661314,0.0047776494198003595,0.05663374032380355,0.07547173219274084
DistRndMean,-6.949093481342579,0.21162220140884486,-7.355456170175036,-6.536674203626099
DistRndStd,3.6518356359128497,0.18842735115294781,3.29865280173994,4.030751526972604
