,mean,std. dev.,2.5%,97.5%
rho,0.0,0.0,0.0,0.0
interceptFix,-0.18544393954182561,0.25117935365835115,-0.7058684203496565,0.2729468490713189
InRiverFix,3.757467407562046,0.12104533382131544,3.5234058347948034,3.9979664373612973
InAvenueFix,0.2817730820190312,0.10286463089109078,0.08189033254027225,0.4852841092228572
InAreaFix,0.16161699755643508,0.10623128247435974,-0.04937787399252424,0.3707695939572887
DistRes10underFix,0.00044708097617185167,0.22836670752638646,-0.4714540766857289,0.42889035063507397
DistFreq1underFix,-0.028577406763407465,0.23254444806060945,-0.4890884433563163,0.4157408520585185
DistFemaleFix,0.0010307828209146983,0.2477593078952986,-0.4830888822721194,0.5233986461065726
Dist40upFix,-0.05341842567353732,0.2355753251637534,-0.5452470857615362,0.3852620661462165
DistEastFix,2.1794119403385888,0.19093562183257926,1.799177951461661,2.5510286586239492
DistNorthFix,-0.2273954007590386,0.2453798040570192,-0.7082828563023457,0.25623636596811045
DistSouthFix,1.353742452415482,0.19902569060370542,0.9684878122249375,1.7439253874376923
TreeRndMean,0.04120572654915384,0.007227518250926428,0.02760039903471213,0.05570492476333124
TreeRndStd,0.05961325592780082,0.006344117279547517,0.047867716708300756,0.0724318937685165
BldgRndMean,-0.003963476857099685,0.004062309509054397,-0.011730387865978428,0.004230281738279522
BldgRndStd,0.06297394912704773,0.004914386953084481,0.053887176825242765,0.07319272591136894
RoadRndMean,0.036374677510217376,0.005906592237274883,0.025095521173244054,0.04834420342559547
RoadRndStd,0.0689328757464981,0.005937409754052052,0.05850250471037407,0.08188921969829129
SkyRndMean,0.006288121973081454,0.007801617564108456,-0.009100549232048435,0.021427417090173186
SkyRndStd,0.0776026028638865,0.007079621721410765,0.06390821730331672,0.09175463375509976
DistRndMean,-10.694733981388607,0.41214929387358895,-11.448148956105102,-9.915345328226627
DistRndStd,6.252984530038185,0.4339641337178213,5.499703674843376,7.1657384120360925
